,MVO-LW (Static),Equal-Weighted,MVO-Naive,LW Subset,RMT Relaxed (1.2) - Gamma 0.1,RMT Base (1.0) - Gamma 0.1,RMT High (1.4) - Gamma 0.1
Mean Return,0.00038389219526733555,0.0002925747492699416,0.00021948532926488866,0.0003259909096344488,0.000639122724074163,0.0006391364149016896,0.0006391092545843319
Annual Return,0.09674083320736857,0.07372883681602528,0.055310302974751945,0.08214970922788109,0.1610589264666891,0.1610623765552258,0.16105553215525165
Geometric Return,0.09543925168838263,0.0672754453102078,0.05584431644007304,0.08002322709057608,0.15287937654654393,0.15288213481385626,0.1528765812353945
Min Return,-0.06033889925996823,-0.07529841875490688,-0.034278998247151075,-0.05927800926893225,-0.11318523870014614,-0.11319028645070965,-0.11318083171464265
Max Drawdown (%),-23.159405889723296,-32.63302397869927,-7.096324101733053,-23.511451438507848,-30.87343335088334,-30.874483841023025,-30.8724976901697
Max 10-Day Drawdown (%),-15.301955924214845,-22.89212372370974,-5.604241488236437,-18.301317333598412,-24.793012980729497,-24.793649711653284,-24.79247336350707
Sharpe Ratio,"Ticker
^IRX    0.807907
dtype: float64","Ticker
^IRX    0.474744
dtype: float64","Ticker
^IRX    0.998727
dtype: float64","Ticker
^IRX    0.696185
dtype: float64","Ticker
^IRX    0.707078
dtype: float64","Ticker
^IRX    0.707076
dtype: float64","Ticker
^IRX    0.707078
dtype: float64"
Volatility,0.1055473175567479,0.13114511990094968,0.04389773309220152,0.10152663223585617,0.19324054748970448,0.19324595100418543,0.19323559093180404
Skewness,-0.01711753212516802,-0.23696311668028167,-0.3086428003120698,-0.13123152377539246,-0.5885789917838974,-0.588601243510623,-0.5885615507187352
Kurtosis,12.580269644986258,15.12930928214821,20.42514549294,12.759797162391868,11.634631018168019,11.634977757462899,11.63436011281696
VaR (%),-0.9723885163938717,-1.1227098331438676,-0.37525958265332715,-0.9084122336853413,-1.7845876670421312,-1.7846544309334669,-1.7845303602578213
CVaR (%),-1.5769077172836514,-1.9920309819689206,-0.6059737114935124,-1.5124119028398069,-2.8554375669388206,-2.855519150997022,-2.85536224224552
